contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,stockPrice,date,T_days,T_years,moneyness
AAPL251003C00110000,2025-09-08 14:36:26+00:00,110.0,129.72,144.7,146.1,0.0,0.0,,1.0,3.6464852587890633,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.4305957766735972
AAPL251003C00125000,2025-09-26 18:03:59+00:00,125.0,131.34,129.65,131.0,0.0,0.0,3.0,0.0,3.0566429833984374,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.4893133825836332
AAPL251003C00135000,2025-09-26 13:56:12+00:00,135.0,121.06,119.7,121.1,0.0,0.0,1.0,0.0,2.837893530273437,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.5284584531903238
AAPL251003C00145000,2025-08-26 16:21:38+00:00,145.0,83.19,0.0,0.0,0.0,0.0,,10.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.5676035237970145
AAPL251003C00150000,2025-09-19 19:50:00+00:00,150.0,96.05,104.75,106.35,0.0,0.0,1.0,2.0,1.8359383203124997,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.5871760591003599
AAPL251003C00155000,2025-09-18 18:03:06+00:00,155.0,82.8,99.7,101.15,0.0,0.0,,4.0,2.318363579101562,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.6067485944037052
AAPL251003C00160000,2025-09-26 14:54:05+00:00,160.0,95.15,94.75,96.2,9.400002,10.962101,2.0,4.0,1.359378203125,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.6263211297070505
AAPL251003C00165000,2025-09-22 16:01:29+00:00,165.0,91.4,89.7,90.85,0.0,0.0,,1.0,1.875000625,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.6458936650103958
AAPL251003C00170000,2025-09-26 16:16:42+00:00,170.0,85.07,84.75,86.05,-1.3899994,-1.6076792,1.0,5.0,1.8896489892578123,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.6654662003137412
AAPL251003C00175000,2025-09-24 19:16:49+00:00,175.0,76.52,79.7,81.1,0.0,0.0,1.0,5.0,1.7998056884765623,True,REGULAR,USD,call,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.6850387356170865
