contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,stockPrice,date,T_days,T_years,moneyness
AAPL251003P00110000,2025-09-18 15:26:08+00:00,110.0,0.01,0.0,0.01,0.0,0.0,10.0,61.0,2.1875045312499997,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.4305957766735972
AAPL251003P00120000,2025-09-10 14:56:58+00:00,120.0,0.01,0.0,0.01,0.0,0.0,29.0,134.0,1.9375003125,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.46974084728028787
AAPL251003P00125000,2025-09-02 16:48:37+00:00,125.0,0.02,0.0,0.01,0.0,0.0,,2.0,1.875000625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.4893133825836332
AAPL251003P00130000,2025-09-17 14:09:28+00:00,130.0,0.01,0.0,0.01,0.0,0.0,567.0,622.0,1.75000125,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.5088859178869786
AAPL251003P00135000,2025-09-12 15:19:48+00:00,135.0,0.01,0.0,0.01,0.0,0.0,,259.0,1.65625171875,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.5284584531903238
AAPL251003P00140000,2025-09-12 18:04:12+00:00,140.0,0.01,0.0,0.01,0.0,0.0,,100.0,1.5625021874999998,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.5480309884936692
AAPL251003P00145000,2025-09-03 16:55:04+00:00,145.0,0.02,0.0,0.01,0.0,0.0,,16.0,1.5000025,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.5676035237970145
AAPL251003P00150000,2025-09-12 15:34:17+00:00,150.0,0.02,0.0,0.01,0.0,0.0,1.0,18.0,1.40625296875,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.5871760591003599
AAPL251003P00155000,2025-09-18 15:57:41+00:00,155.0,0.01,0.0,0.01,0.0,0.0,6.0,18.0,1.3125034374999998,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.6067485944037052
AAPL251003P00160000,2025-09-18 14:18:56+00:00,160.0,0.01,0.0,0.01,0.0,0.0,50.0,149.0,1.2500037499999999,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.6263211297070505
AAPL251003P00165000,2025-09-18 15:28:39+00:00,165.0,0.01,0.0,0.01,0.0,0.0,3.0,169.0,1.15625421875,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.6458936650103958
AAPL251003P00170000,2025-09-25 16:25:30+00:00,170.0,0.01,0.0,0.01,0.0,0.0,5.0,324.0,1.09375453125,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.6654662003137412
AAPL251003P00175000,2025-09-24 18:46:35+00:00,175.0,0.01,0.0,0.05,0.0,0.0,5.0,142.0,1.171879140625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.6850387356170865
AAPL251003P00180000,2025-09-25 14:16:48+00:00,180.0,0.01,0.0,0.01,0.0,0.0,1.0,756.0,0.937500625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.7046112709204319
AAPL251003P00185000,2025-09-26 19:16:19+00:00,185.0,0.01,0.0,0.01,0.0,0.0,21.0,330.0,0.87500125,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.7241838062237771
AAPL251003P00190000,2025-09-26 16:47:28+00:00,190.0,0.01,0.0,0.01,0.0,0.0,2.0,735.0,0.8125018749999999,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.7437563415271224
AAPL251003P00195000,2025-09-26 18:31:03+00:00,195.0,0.01,0.0,0.01,0.0,0.0,38.0,1136.0,0.7500025,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.7633288768304678
AAPL251003P00200000,2025-09-26 19:56:26+00:00,200.0,0.01,0.01,0.02,-0.01,-50.0,92.0,808.0,0.7500025,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.7829014121338131
AAPL251003P00205000,2025-09-26 18:46:24+00:00,205.0,0.01,0.0,0.04,-0.01,-50.0,22.0,1186.0,0.6953155468750001,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.8024739474371585
AAPL251003P00210000,2025-09-26 19:53:52+00:00,210.0,0.02,0.01,0.05,0.0,0.0,61.0,2550.0,0.6562534375000001,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.8220464827405037
AAPL251003P00212500,2025-09-26 19:56:33+00:00,212.5,0.02,0.01,0.18,-0.02,-50.0,50.0,227.0,0.7148466015625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.8318327503921764
AAPL251003P00215000,2025-09-26 19:43:25+00:00,215.0,0.01,0.01,0.1,-0.02,-66.66667,43.0,1241.0,0.6289099609375001,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.8416190180438491
AAPL251003P00217500,2025-09-26 17:48:51+00:00,217.5,0.01,0.01,0.03,-0.02,-66.66667,318.0,344.0,0.523442265625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.8514052856955218
AAPL251003P00220000,2025-09-26 19:47:20+00:00,220.0,0.02,0.02,0.1,-0.02,-50.0,540.0,3408.0,0.5585981640625001,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.8611915533471944
AAPL251003P00222500,2025-09-26 19:38:17+00:00,222.5,0.03,0.02,0.03,-0.020000001,-40.000004,269.0,340.0,0.4804739453125,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.8709778209988671
AAPL251003P00225000,2025-09-26 19:31:48+00:00,225.0,0.04,0.02,0.08,-0.010000002,-20.000004,554.0,2775.0,0.5048877636718749,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.8807640886505398
AAPL251003P00227500,2025-09-26 19:59:33+00:00,227.5,0.03,0.03,0.05,-0.04,-57.142853,265.0,968.0,0.437505625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.8905503563022125
AAPL251003P00230000,2025-09-26 19:42:03+00:00,230.0,0.04,0.04,0.05,-0.04,-50.0,864.0,2376.0,0.40039662109375,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.900336623953885
AAPL251003P00232500,2025-09-26 19:43:15+00:00,232.5,0.06,0.05,0.06,-0.040000003,-40.000004,1407.0,1463.0,0.37500625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.9101228916055577
AAPL251003P00235000,2025-09-26 19:58:10+00:00,235.0,0.07,0.07,0.1,-0.080000006,-53.333336,1014.0,5764.0,0.36524072265625,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.9199091592572304
AAPL251003P00237500,2025-09-26 19:57:52+00:00,237.5,0.1,0.1,0.11,-0.089999996,-47.36842,957.0,2160.0,0.331061376953125,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.929695426908903
AAPL251003P00240000,2025-09-26 19:58:34+00:00,240.0,0.16,0.14,0.16,-0.099999994,-38.461536,4527.0,7231.0,0.31153032226562494,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.9394816945605757
AAPL251003P00242500,2025-09-26 19:59:52+00:00,242.5,0.24,0.22,0.24,-0.14,-36.842106,2479.0,3895.0,0.2929758203124999,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.9492679622122484
AAPL251003P00245000,2025-09-26 19:59:56+00:00,245.0,0.38,0.37,0.39,-0.17000002,-30.909094,4690.0,5992.0,0.27930408203124996,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.9590542298639211
AAPL251003P00247500,2025-09-26 19:59:57+00:00,247.5,0.64,0.6,0.64,-0.17000002,-20.987658,4796.0,5633.0,0.26709717285156254,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.9688404975155938
AAPL251003P00250000,2025-09-26 19:59:58+00:00,250.0,1.05,1.0,1.1,-0.1500001,-12.500008,10547.0,9783.0,0.2622144091796875,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.9786267651672664
AAPL251003P00252500,2025-09-26 19:59:55+00:00,252.5,1.72,1.61,1.78,-0.059999943,-3.3707836,8525.0,2454.0,0.25586681640625003,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.9884130328189391
AAPL251003P00255000,2025-09-26 19:59:45+00:00,255.0,2.65,2.59,2.72,0.01999998,0.76045555,14504.0,4264.0,0.247077841796875,False,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,0.9981993004706117
AAPL251003P00257500,2025-09-26 19:59:55+00:00,257.5,4.0,3.9,4.05,0.27999997,7.526881,2162.0,652.0,0.2436599072265625,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.0079855681222845
AAPL251003P00260000,2025-09-26 19:59:50+00:00,260.0,5.66,5.15,5.75,0.46000004,8.846155,1255.0,2525.0,0.2442702526855469,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.0177718357739571
AAPL251003P00262500,2025-09-26 19:59:37+00:00,262.5,7.63,7.5,7.7,0.74000025,10.740207,1039.0,273.0,0.242195078125,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.0275581034256298
AAPL251003P00265000,2025-09-26 19:59:25+00:00,265.0,9.84,9.55,10.25,0.3000002,3.1446562,193.0,2260.0,0.30152065673828127,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.0373443710773025
AAPL251003P00267500,2025-09-26 19:44:06+00:00,267.5,12.5,11.75,12.6,0.35000038,2.8806617,97.0,3.0,0.3276434423828125,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.047130638728975
AAPL251003P00270000,2025-09-26 19:55:42+00:00,270.0,14.6,14.4,14.8,1.3500004,10.188683,25.0,8064.0,0.3090889404296875,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.0569169063806476
AAPL251003P00272500,2025-09-26 19:52:20+00:00,272.5,17.38,16.45,17.75,-1.8899994,-9.807989,7.0,13.0,0.44507390869140623,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.0667031740323203
AAPL251003P00275000,2025-09-26 17:54:31+00:00,275.0,19.0,18.95,20.25,-3.869999,-16.921728,11.0,6.0,0.4892629199218751,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.076489441683993
AAPL251003P00277500,2025-09-24 14:40:46+00:00,277.5,25.72,21.5,22.65,0.0,0.0,,0.0,0.5122119091796875,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.0862757093356656
AAPL251003P00280000,2025-09-24 17:32:20+00:00,280.0,28.3,24.05,25.1,0.0,0.0,3.0,1.0,0.5415084912109377,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.0960619769873383
AAPL251003P00285000,2025-09-22 18:05:08+00:00,285.0,30.2,29.1,30.2,0.0,0.0,18.0,0.0,0.6430699755859376,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.1156345122906837
AAPL251003P00287500,2025-09-26 18:46:16+00:00,287.5,31.4,31.5,32.75,-0.29999924,-0.9463699,1.0,2.0,0.6928741650390625,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.1254207799423563
AAPL251003P00305000,2025-09-23 17:43:56+00:00,305.0,50.45,49.0,50.2,0.0,0.0,,0.0,0.6367223828125,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.193924653504065
AAPL251003P00310000,2025-09-23 18:47:44+00:00,310.0,55.6,54.0,55.2,0.0,0.0,18.0,0.0,0.6875031250000001,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.2134971888074104
AAPL251003P00315000,2025-09-23 17:43:56+00:00,315.0,60.45,59.0,60.25,0.0,0.0,,0.0,0.7675804492187501,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.2330697241107555
AAPL251003P00325000,2025-09-24 17:39:56+00:00,325.0,73.2,69.0,70.2,0.0,0.0,1.0,0.0,0.8320329296874999,True,REGULAR,USD,put,2025-10-03,255.4600067138672,2025-09-28,4,0.010958904109589041,1.2722147947174463
AAPL251010P00120000,2025-09-15 18:36:47+00:00,120.0,0.01,0.0,0.36,0.0,0.0,,34.0,1.7773448632812499,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.46974084728028787
AAPL251010P00125000,2025-09-23 13:30:00+00:00,125.0,0.01,0.0,0.08,0.0,0.0,1.0,2.0,1.4296903515625,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.4893133825836332
AAPL251010P00135000,2025-09-16 19:23:09+00:00,135.0,0.01,0.0,0.28,0.0,0.0,80.0,103.0,1.474612001953125,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.5284584531903238
AAPL251010P00140000,2025-09-22 18:48:58+00:00,140.0,0.01,0.0,0.32,0.0,0.0,,110.0,1.421877890625,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.5480309884936692
AAPL251010P00145000,2025-09-08 15:38:49+00:00,145.0,0.02,0.0,0.36,0.0,0.0,,15.0,1.365237548828125,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.5676035237970145
AAPL251010P00150000,2025-09-22 14:24:20+00:00,150.0,0.01,0.0,0.35,0.0,0.0,1.0,7.0,1.2871129394531249,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.5871760591003599
AAPL251010P00155000,2025-09-25 15:21:55+00:00,155.0,0.01,0.0,0.08,0.0,0.0,191.0,212.0,1.0234423828125,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.6067485944037052
AAPL251010P00160000,2025-09-26 19:05:36+00:00,160.0,0.01,0.0,0.02,0.0,0.0,227.0,91.0,0.8437515624999999,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.6263211297070505
AAPL251010P00165000,2025-09-25 16:25:44+00:00,165.0,0.02,0.0,0.02,0.0,0.0,5.0,121.0,0.79687703125,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.6458936650103958
AAPL251010P00170000,2025-09-26 18:08:09+00:00,170.0,0.02,0.0,0.05,0.0,0.0,110.0,255.0,0.8085956640624999,False,REGULAR,USD,put,2025-10-10,255.4600067138672,2025-09-28,11,0.030136986301369864,0.6654662003137412
